var,raw_type,raw_map,num_unique_responses,num_response_nulls,category,category_abbreviated,subcategory1,var_type,cat_column_name,model_learn,model_top10,visual_component,visual_old_name,survey_question
hivtstd3,num,,489,348712,Health Condition,hc,hiv,cont,hc_hiv_hivtstd3_cont,,,,,"Not including blood donations, in what month and year was your last H.I.V. test?"
addepev3,num,,5,2517,Health Condition,hc,mental,bin,hc_mental_addepev3_bin,1,,,,(Ever told) you had a depressive disorder
_ment14d,num,,4,7917,Health Condition,hc,mental,cat,hc_mental__ment14d_cat,,,,,"3 level not good mental health status: 0 days, 1-13 days, 14-30 days"
decide,num,,5,19980,Health Condition,hc,mental,bin,hc_mental_decide_bin,1,,,hc_mental_hascondition_bin,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?"
cimemlos,num,,5,405938,Health Condition,hc,mental,bin,hc_mental_cimemlos_bin,,,,,"During the past 12 months, have you experienced confusion or memory loss that is happening more often or is getting worse?"
diffalon,num,,5,21425,Health Condition,hc,mental,bin,hc_mental_diffalon_bin,1,,,,Difficulty Doing Errands Alone
menthlth,num,,34,7917,Health Condition,hc,mental,cont,hc_mental_menthlth_cont,1,,,,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for
how many days during the past 30 days was your mental health not good?"
diffdres,num,,5,19716,Health Condition,hc,mobility,bin,hc_mobility_diffdres_bin,1,,,,Difficulty Dressing or Bathing
poorhlth,num,,34,210586,Health Condition,hc,mentalphysical,cont,hc_mentalphysical_poorhlth_cont,,,,,"During the past 30 days, for about how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?"
diffwalk,num,,5,19830,Health Condition,hc,mobility,bin,hc_mobility_diffwalk_bin,1,,,hc_mobility_hascondition_bin,Do you have serious difficulty walking or climbing stairs?
chccopd3,num,,5,2107,Health Condition,hc,respitory,bin,hc_respitory_chccopd3_bin,1,,,hc_respitory_hascondition_bin,Ever told you had C.O.P.D. emphysema or chronic bronchitis?
arthexer,num,,5,298335,Health Condition,hc,alcohol,bin,hc_alcohol_arthexer_bin,,,exercise,hc_treat_exercise_bin,"Has a doctor or other health professional ever suggested physical activity or exercise to help your arthritis or joint symptoms? (If the respondent is unclear about whether this means an increase or decrease in physical activity, this means increase.)"
blind,num,,5,17351,Health Condition,hc,vision,bin,hc_vision_blind_bin,1,,,hc_vision_hascondition_bin,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?"
eyeexam1,num,,8,416960,Health Condition,hc,vision,cat,hc_vision_eyeexam1_cat,,,,,"When was the last time you had an eye exam in which the pupils were dilated, making you temporarily sensitive to bright light?"
_psu,num,,39095,0,NA,na,na,cont,na_na__psu_cont,,,,,Primary Sampling Unit (Equal to Annual Sequence Number) 
_ststr,num,,2140,0,NA,na,na,cont,na_na__ststr_cont,,,,,"Sample Design Stratification Variable (Prior to 2011: _STSTR is a five digit number that combines the values for _STATE (first two characters), _GEOSTR (third and fourth character), and _DENSTR2 (final character).)"
dispcode,num,,2,0,NA,na,na,cat,na_na_dispcode_cat,,,,,Final Disposition 
fmonth,num,,12,0,NA,na,na,cat,na_na_fmonth_cat,,,,,File Month
idate,text,"cast( ( substring(idate from 7 for 4) || substring(idate from 3 for 2) || substring(idate from 5 for 2) ) as numeric) as idate,",420,0,NA,na,na,cont,na_na_idate_cont,,,,,
iday,text,"cast(substring(iday from 3 for 2) as numeric) as iday,",31,0,NA,na,na,cont,na_na_iday_cont,,,,,
imonth,text,"cast(substring(imonth from 3 for 2) as numeric) as imonth,",12,0,NA,na,na,cat,na_na_imonth_cat,,,,,
iyear,text,"cast(substring(iyear from 3 for 4) as numeric) as iyear,",2,0,NA,na,na,cont,na_na_iyear_cont,,,,,
seqno,text,"cast(substring(seqno from 3 for 10) as numeric) as seqno,",39095,0,NA,na,na,cont,na_na_seqno_cont,,,,,
usemrjn3,num,,9,438693,NA,na,na,cat,na_na_usemrjn3_cat,,,,,Did not find this field
frenchf1,num,,148,44765,Nutrition,nut,fried,cont,nut_fried_frenchf1_cont,,,NUT,nut_fried_howoften_cont,"How often did you eat any kind of fried potatoes, including french fries, home fries, or hash browns?"
frnchda_,num,,135,44765,Nutrition,nut,fried,cont,nut_fried_frnchda__cont,1,,,,French Fry intake in times per day
_frt16a,num,,2,0,Nutrition,nut,fruit,cat,nut_fruit__frt16a_cat,,,,,Reported consuming Fruit >16 per day
_frtlt1a,num,,3,28983,Nutrition,nut,fruit,cat,nut_fruit__frtlt1a_cat,,,,,Consume Fruit 1 or more times per day
_frtres1,num,,2,392693,Nutrition,nut,fruit,cat,nut_fruit__frtres1_cat,,,,,Missing any fruit responses
_fruite1,num,,3,392693,Nutrition,nut,fruit,cat,nut_fruit__fruite1_cat,,,,,Question: Fruit Exclusion from analyses
_frutsu1,num,,729,5107,Nutrition,nut,fruit,cont,nut_fruit__frutsu1_cont,1,,,,Total fruits consumed per day
_misfrt1,num,,3,438693,Nutrition,nut,fruit,cat,nut_fruit__misfrt1_cat,,,,,The number of missing fruit responses
fruitju2,num,,141,44349,Nutrition,nut,fruit,cont,nut_fruit_fruitju2_cont,,,,,"Not including fruit-flavored drinks or fruit juices with added sugar, how often did you drink 100% fruit juice such as apple or orange juice?"
frutda2_,num,,160,43951,Nutrition,nut,fruit,cont,nut_fruit_frutda2__cont,,,,,Fruit intake in times per day
fruit2,num,,174,43951,Nutrition,nut,fruitjuice,cont,nut_fruitjuice_fruit2_cont,,,NUT,nut_fruit_howmany_cont,"Not including juices, how often did you eat fruit?"
ftjuda2_,num,,129,44349,Nutrition,nut,fruitjuice,cont,nut_fruitjuice_ftjuda2__cont,1,,,,Fruit juice intake in times per day
fvgreen1,num,,172,44250,Nutrition,nut,greens,cont,nut_greens_fvgreen1_cont,,,NUT,nut_vegetables_howmany_cont,"How often did you eat a green leafy or lettuce salad, with or without other vegetables?"
grenda1_,num,,158,44250,Nutrition,nut,greens,cont,nut_greens_grenda1__cont,1,,,,Dark green vegetable intake in times per day
potada1_,num,,130,48440,Nutrition,nut,potato,cont,nut_potato_potada1__cont,1,,,,Potato servings per day
potatoe1,num,,142,48440,Nutrition,nut,potato,cont,nut_potato_potatoe1_cont,,,,,"How often did you eat any other kind of potatoes, or sweet potatoes, such as baked, boiled, mashed potatoes, or potato salad?"
wtchsalt,num,,5,402852,Nutrition,nut,sodium,bin,nut_sodium_wtchsalt_bin,,,,,Are you currently watching or reducing your sodium or salt intake?
_misveg1,num,,5,438693,Nutrition,nut,vegetables,cat,nut_vegetables__misveg1_cat,,,,,The number of missing vegetable responses
_veg23a,num,,2,0,Nutrition,nut,vegetables,cat,nut_vegetables__veg23a_cat,,,,,Reported consuming Vegetables >23 per day
_vegesu1,num,,2362,60127,Nutrition,nut,vegetables,cont,nut_vegetables__vegesu1_cont,1,,,,Total vegetables consumed per day
_vegete1,num,,3,438693,Nutrition,nut,vegetables,cat,nut_vegetables__vegete1_cat,,,,,Vegetable Exclusion from analyses
_veglt1a,num,,3,60127,Nutrition,nut,vegetables,cat,nut_vegetables__veglt1a_cat,,,,,Consume Vegetables 1 or more times per day
_vegres1,num,,2,0,Nutrition,nut,vegetables,cat,nut_vegetables__vegres1_cat,,,,,Missing any vegetable responses
vegeda2_,num,,158,48528,Nutrition,nut,vegetablesother,cont,nut_vegetablesother_vegeda2__cont,1,,,,Other vegetable intake in times per day
vegetab2,num,,169,48528,Nutrition,nut,vegetablesother,cont,nut_vegetablesother_vegetab2_cont,,,,,"Not including lettuce salads and potatoes, how often did you eat other vegetables?"
_cllcpwt,num,,19512,38599,Phone,phone,na,cat,phone_na__cllcpwt_cat,,,,,Final child weight: Land-line and Cell-Phone data (Raking derived weight)
_crace1,num,,10,382537,Phone,phone,na,cat,phone_na__crace1_cat,,,,,Child multiracial race categorization
_dualcor,num,,107,264965,Phone,phone,na,cat,phone_na__dualcor_cat,,,,,Dual phone use correction factor
_dualuse,num,,3,0,Phone,phone,na,cat,phone_na__dualuse_cat,,,,,Dual Phone Use Categories
_llcpwt,num,,258033,0,Phone,phone,na,cont,phone_na__llcpwt_cont,,,,,Truncated design weight used in adult combined land line and cell phone raking 
_llcpwt2,num,,14331,0,Phone,phone,na,cont,phone_na__llcpwt2_cont,,,,,Truncated design weight used in adult combined land line and cell phone raking 
_rawrake,num,,12,0,Phone,phone,na,cont,phone_na__rawrake_cont,,,,,"Raw weighting factor used in raking (Number of adults in the household (NUMADULT, maximum of 5) divided by the imputed number of phones (_IMPNPH, maximum of 3).)"
_strwt,num,,1575,0,Phone,phone,na,cont,phone_na__strwt_cont,,,,,Stratum weight (Number of records in a stratum (NRECSTR) divided by the number of records selected (NRECSEL).)
_wt2rake,num,,6313,0,Phone,phone,na,cont,phone_na__wt2rake_cont,,,,,Design weight used in raking (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAWRAKE).)
cadult1,num,,2,117786,Phone,phone,na,cat,phone_na_cadult1_cat,,,,,Is this a cell phone?
cclghous,num,,2,437438,Phone,phone,na,cat,phone_na_cclghous_cat,,,,,Do you live in college housing?
cellfon5,num,,2,117786,Phone,phone,na,cat,phone_na_cellfon5_cat,,,,,Is this (phone number) ?
celphon1,num,,2,320907,Phone,phone,na,cat,phone_na_celphon1_cat,,,,,Is this a cell telephone?
colghous,num,,2,438663,Phone,phone,na,cat,phone_na_colghous_cat,,,,,Do you live in college housing?
cpdemo1b,num,,10,6424,Phone,phone,na,cat,phone_na_cpdemo1b_cat,,,,,How many cell phones do you have for personal use?
ctelenm1,num,,3,320907,Phone,phone,na,cat,phone_na_ctelenm1_cat,,,,,phone no
ctelnum1,num,,2,117787,Phone,phone,na,cat,phone_na_ctelnum1_cat,,,,,Is this (phone number) ?
ladult1,num,,3,320907,Phone,phone,na,cat,phone_na_ladult1_cat,,,,,Is this a cell telephone?
landline,num,,5,118924,Phone,phone,na,cat,phone_na_landline_cat,,,,,Do you also have a landline telephone in your home that is used to make and receive calls?
numadult,num,,16,320926,Phone,phone,na,cat,phone_na_numadult_cat,,,,,Number of Adults in Household
numhhol3,num,,5,322098,Phone,phone,na,cat,phone_na_numhhol3_cat,,,,,"Not including cell phones or numbers used for computers, fax machines or security systems, do you have more than one telephone number in your household?"
numphon3,num,,10,407472,Phone,phone,na,cat,phone_na_numphon3_cat,,,,,How many of these telephone numbers are residential numbers?
pvtresd1,num,,3,320907,Phone,phone,na,bin,phone_na_pvtresd1_bin,,,,,Is this a private residence
pvtresd3,num,,3,117786,Phone,phone,na,bin,phone_na_pvtresd3_bin,,,,,Do you live in a private residence?
qstver,num,,8,0,Phone,phone,na,cat,phone_na_qstver_cat,,,,,Questionnaire Version Identifier
respslct,num,,5,374038,Phone,phone,na,cat,phone_na_respslct_cat,,,,,The person in your household that I need to speak with is [XXX]. Are you the [XXX] in this household
safetime,num,,2,117786,Phone,phone,na,cat,phone_na_safetime_cat,,,,,Is this a safe time to talk with you?
_drnkwk1,num,,285,34993,Social Habits,sh,alcohol,cont,sh_alcohol__drnkwk1_cont,,,,,Calculated total number of alcoholic beverages consumed per week
_rfbing5,num,,3,35322,Social Habits,sh,alcohol,bin,sh_alcohol__rfbing5_bin,1,,,,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion)"
_rfdrhv7,num,,3,34993,Social Habits,sh,alcohol,bin,sh_alcohol__rfdrhv7_bin,1,,SH,sh_alcohol_heavy_bin,Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week)
alcday5,num,,41,30589,Social Habits,sh,alcohol,cont,sh_alcohol_alcday5_cont,,,,,"During the past 30 days, how many days per week or per month did you have at least one drink of any alcoholic beverage such as beer, wine, a malt beverage or liquor?"
avedrnk3,num,,55,231865,Social Habits,sh,alcohol,cont,sh_alcohol_avedrnk3_cont,,,,,"One drink is equivalent to a 12-ounce beer, a 5-ounce glass of wine, or a drink with one shot of liquor. During the past 30 days, on the days when you drank, about how many drinks did you drink on the average? (A 40 ounce beer would count as 3 drinks, or a cocktail drink with 2 shots would count as 2 drinks.)"
drnk3ge5,num,,50,232194,Social Habits,sh,alcohol,cont,sh_alcohol_drnk3ge5_cont,,,,,"Considering all types of alcoholic beverages, how many times during the past 30 days did you have 5 or more drinks for men or 4 or more drinks for women on an occasion?"
drnkany5,num,,4,30589,Social Habits,sh,alcohol,cat,sh_alcohol_drnkany5_cat,,,,,Adults who reported having had at least one drink of alcohol in the past 30 days.
drocdy3_,num,,36,30589,Social Habits,sh,alcohol,cont,sh_alcohol_drocdy3__cont,,,,,Drink-occasions-per-day
maxdrnks,num,,62,236891,Social Habits,sh,alcohol,cont,sh_alcohol_maxdrnks_cont,,,,,"During the past 30 days, what is the largest number of drinks you had on any occasion?"
marijan1,num,,34,302612,Social Habits,sh,marijuana,cont,sh_marijuana_marijan1_cont,,,,,"During the past 30 days, on how many days did you use marijuana or cannabis?"
rsnmrjn2,num,,6,425290,Social Habits,sh,marijuana,cat,sh_marijuana_rsnmrjn2_cat,,,,,"When you used marijuana or cannabis during the past 30 days, was it usually:"
_cureci1,num,,3,23938,Social Habits,sh,smoking,cat,sh_smoking__cureci1_cat,,,,,Adults who are current e-cigarette users
ecignow1,num,,7,23938,Social Habits,sh,smoking,cat,sh_smoking_ecignow1_cat,1,,,,"Do you now use e-cigarettes or other electronic vaping products every day, some days, or not at all?"
_smoker3,num,,5,24970,Social Habits,sh,smoking,cat,sh_smoking__smoker3_cat,,,,,"Four-level smoker status: Everyday smoker, Someday smoker, Former smoker, Non-smoker"
smoke100,num,,5,24461,Social Habits,sh,smoking,bin,sh_smoking_smoke100_bin,1,,SH,sh_cigarettes_100perlife_bin,Have you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes]
lastsmk2,num,,11,387374,Social Habits,sh,smoking,cat,sh_smoking_lastsmk2_cat,,,,,": How long has it been since you last smoked a cigarette, even one or two puffs?"
lcsfirst,num,,60,426860,Social Habits,sh,smoking,cont,sh_smoking_lcsfirst_cont,,,,,How old were you when you first started to smoke cigarettes regularly
lcslast,num,,93,427257,Social Habits,sh,smoking,cont,sh_smoking_lcslast_cont,,,,,How old were you when you last smoked cigarettes regularly?
lcsnumcg,num,,65,427037,Social Habits,sh,smoking,cont,sh_smoking_lcsnumcg_cont,,,,,"On average, when you smoke/smoked regularly, about how many cigarettes do/did you usually smoke each day?"
smokday2,num,,6,271614,Social Habits,sh,smoking,cat,sh_smoking_smokday2_cat,,,,,"Do you now smoke cigarettes every day, some days, or not at all?"
_rfsmok3,num,,3,24970,Social Habits,sh,smoking,bin,sh_smoking__rfsmok3_bin,,,SH,sh_smoking_current_bin,Adults who are current smokers
stopsmk2,num,,5,414746,Social Habits,sh,smoking,bin,sh_smoking_stopsmk2_bin,,,,,"During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?"
usenow3,num,,6,22882,Social Habits,sh,smoking,cat,sh_smoking_usenow3_cat,1,1,,,Use of Smokeless Tobacco Products
cageg,num,,5,390113,Social Status,ss,childage,cat,ss_childage_cageg_cat,,,,,Four level child age
medcost1,num,,5,1364,Social Status,ss,cost,bin,ss_cost_medcost1_bin,1,,,,Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?
_educag,num,,5,2478,Social Status,ss,education,cat,ss_education__educag_cat,1,1,,,Level of education completed
educa,num,,8,2478,Social Status,ss,education,cat,ss_education_educa_cat,,,EDU,ss_education_level_cat,What is the highest grade or year of school you completed?
employ1,num,,10,8251,Social Status,ss,employment,cat,ss_employment_employ1_cat,1,1,Employment,ss_employment_na_cat,Are you currently Employed?
workcfs,num,,1,438693,Social Status,ss,employment,cat,ss_employment_workcfs_cat,,,,,"Thinking about your CFS or ME, during the past 6 months, how many hours a week on average have you been able to work at a job or business for pay?"
firearm5,num,,5,411227,Social Status,ss,firearms,bin,ss_firearms_firearm5_bin,,,,,Are any firearms now kept in or around your home?
gunload,num,,5,426935,Social Status,ss,firearms,bin,ss_firearms_gunload_bin,,,,,Are any of these firearms now loaded?
loadulk2,num,,5,434423,Social Status,ss,firearms,bin,ss_firearms_loadulk2_bin,,,,,Are any of these loaded firearms also unlocked? 
_hcvu652,num,,3,72820,Social Status,ss,healthinsurance,cat,ss_healthinsurance__hcvu652_cat,,,SS,ss_healthinsurance_na_cat,Respondents aged 18-64 who have any form of health insurance
_hlthpln,num,,3,7397,Social Status,ss,healthinsurance,bin,ss_healthinsurance__hlthpln_bin,1,,,,Adults who had some form of health insurance
priminsr,num,,14,17397,Social Status,ss,healthinsurance,cat,ss_healthinsurance_priminsr_cat,,,,,What is the current primary source of your health insurance?
_incomg1,num,,8,9443,Social Status,ss,income,cat,ss_income__incomg1_cat,1,,,,Income categories
income3,num,,14,94413,Social Status,ss,income,cat,ss_income_income3_cat,,,Income,ss_income_na_cat,"Is your annual household income from all sources: (If respondent refuses at any income level, code  ÌRefused. Ì)"
cstate1,num,,3,117786,Social Status,ss,residence,cat,ss_residence_cstate1_cat,,,,,Do you live in a private residence?
renthom1,num,,6,4599,Social Status,ss,residence,cat,ss_residence_renthom1_cat,1,,,,Do you own or rent your home?
veteran3,num,,5,3217,Social Status,ss,veteran,bin,ss_veteran_veteran3_bin,1,,SS,ss_veteran_na_bin,"Have you ever served on active duty in the United States Armed Forces, either in the regular military or in a National Guard or military reserve unit?"
flushot7,num,,5,31392,Vaccine,vac,flu,bin,vac_flu_flushot7_bin,1,,Vaccine,vac_flu_na_bin,"During the past 12 months, have you had either flu vaccine that was sprayed in your nose or flu shot injected into your arm?"
_flshot7,num,,4,36342,Vaccine,vac,flu,bin,vac_flu__flshot7_bin,,,,,Adults aged 65+ who have had a flu shot within the past year
flshtmy3,num,,34,244261,Vaccine,vac,flu,cont,vac_flu_flshtmy3_cont,,,,,During what month and year did you receive your most recent flu vaccine that was sprayed in your nose or flu shot injected into your arm?
hpvadvc4,num,,6,427076,Vaccine,vac,hpv,bin,vac_hpv_hpvadvc4_bin,,,Vaccine,vac_hpv_na_bin,Have you ever had an H.P.V. vaccination?
imfvpla2,num,,15,231755,Vaccine,vac,flu,cat,vac_flu_imfvpla2_cat,,,,,At what kind of place did you get your last flu shot or vaccine?
hpvadsht,num,,6,436757,Vaccine,vac,hpv,cat,vac_hpv_hpvadsht_cat,,,,,How many HPV shots did you receive?
_pneumo3,num,,4,299269,Vaccine,vac,bmi,bin,vac_bmi__pneumo3_bin,,,Vaccine,vac_pneumonia_65plus_bin,Adults aged 65+ who have ever had a pneumonia vaccination
pneuvac4,num,,5,62801,Vaccine,vac,pneumonia,bin,vac_pneumonia_pneuvac4_bin,1,1,Vaccine,vac_pneumonia_everhadshot_bin,Have you ever had a pneumonia shot also known as a pneumococcal vaccine?
shingle2,num,,5,425454,vaccine,vac,shingleszoster,bin,vac_shingleszoster_shingle2_bin,,,,,Have you ever had the shingles or zoster vaccine?
tetanus1,num,,7,425378,Vaccine,vac,tetanus,cat,vac_tetanus_tetanus1_cat,,,,,Received Tetanus Shot Since 2005?
