var,is_derived,is_visual,num_responses,keep,category,category_abbreviated,subcategory1,subcategory1_abbreviated,subcategory2,analysis,analyzed_by,var_type,hs_ext_column_name,MapCommand,survey_question
CRGVHOU1,,,5,y,Care Giver,cg,General Care,generalcare,past30days,Can ignore this feature,Nalini,bin,cg_generalcare_past30days_bin,"case --CRGVHOU1

end as cg_generalcare_past30days_bin,","In the past 30 days, did you provide care for this person by managing household tasks such as cleaning, managing money, or preparing meals?"
CRGVHRS1,,,7,y,Care Giver,cg,General Care,generalcare,hoursperweek,ignore,Monika,cat,cg_generalcare_hoursperweek_cat,"case --CRGVHRS1

end as cg_generalcare_hoursperweek_cat,",": In an average week, how many hours do you provide care or assistance?"
CRGVLNG1,,,8,y,Care Giver,cg,General Care,generalcare,providecarehowlong,ignore,Monika,cat,cg_generalcare_providecarehowlong_cat,"case --CRGVLNG1

end as cg_generalcare_providecarehowlong_cat,",For how long have you provided care for that person?
CRGVPER1,,,5,y,Care Giver,cg,General Care,generalcare,na,Can ignore this feature,Nalini,bin,cg_generalcare_na_bin,"case --CRGVPER1

end as cg_generalcare_na_bin,","In the past 30 days, did you provide care for this person by managing personal care such as giving medications, feeding, dressing, or bathing?"
CRGVPRB3,,,18,y,Care Giver,cg,Condition,condition,na,Can ignore this feature,Nalini,cat,cg_condition_na_cat,"case --CRGVPRB3

end as cg_condition_na_cat,","What is the main health problem, long-term illness, or disability that the person you care for has?"
CRGVREL4,,,18,y,Care Giver,cg,Relationship,relationship,na,ignore,Monika,cat,cg_relationship_na_cat,"case --CRGVREL4

end as cg_relationship_na_cat,",What is his or her relationship to you?
CRVCLCNC,,,8,y,Health Condition,hc,Cancer,cancer,howlongscreentest,Ignore,Sandeep,cat,hc_cancer_howlongscreentest_cat,"case --CRVCLCNC

end as hc_cancer_howlongscreentest_cat,",How long has it been since you had your last cervical cancer screening test?
CRVCLHPV,,,5,y,Health Condition,hc,Cancer,cancer,treatment,Can ignore this feature,Nalini,bin,hc_cancer_treatment_bin,"case --CRVCLHPV

end as hc_cancer_treatment_bin,","At your most recent cervical cancer screening, did you have an H.P.V. test?"
CRVCLPAP,,,5,y,Health Condition,hc,Cancer,cancer,paptest,Can ignore this feature,Nalini,bin,hc_cancer_paptest_bin,"case --CRVCLPAP

end as hc_cancer_paptest_bin,","At your most recent cervical cancer screening, did you have a Pap test?"
CSRVCLIN,,,4,y,Health Condition,hc,Cancer,cancer,clinicaltrial,VVIP,Sandeep,bin,hc_cancer_clinicaltrial_bin,"case --CSRVCLIN

end as hc_cancer_clinicaltrial_bin,",Did you participate in a clinical trial as part of your cancer treatment?
CSRVCTL2,,,6,y,Health Condition,hc,Cancer,cancer,painundercontrol,VVIP,Sandeep,cat,hc_cancer_painundercontrol_cat,"case --CSRVCTL2

end as hc_cancer_painundercontrol_cat,",Would you say your pain is currently under controlâ€¦? (Cancer Survivorship: Pain Management)
CSRVDEIN,,,5,y,Health Condition,hc,Cancer,cancer,deniedhealthinsurance,ignore?,Monika,bin,hc_cancer_deniedhealthinsurance_bin,"case --CSRVDEIN

end as hc_cancer_deniedhealthinsurance_bin,",Were you ever denied health insurance or life insurance coverage because of your cancer?
CSRVDOC1,,,13,y,Health Condition,hc,Cancer,cancer,condition,ignore,Monika,cat,hc_cancer_condition_cat,"case --CSRVDOC1

end as hc_cancer_condition_cat,",: What type of doctor provides the majority of your health care?
CSRVINSR,,,5,y,Health Condition,hc,Cancer,cancer,healthinsurance,Ignore,Sandeep,bin,hc_cancer_healthinsurance_bin,"case --CSRVINSR

end as hc_cancer_healthinsurance_bin,","With your most recent diagnosis of cancer, did you have health insurance that paid for all or part of your cancer treatment? (â€œHealth insuranceâ€ also includes Medicare, Medicaid, or other types of state health programs.)  (Cancer Survivorship: Pain Management)"
CSRVINST,,,5,y,Health Condition,hc,Cancer,cancer,instructionswrittendown,ignore,Monika,bin,hc_cancer_instructionswrittendown_bin,"case --CSRVINST

end as hc_cancer_instructionswrittendown_bin,",Were these instructions written down or printed on paper for you?
CSRVPAIN,,,5,y,Health Condition,hc,Cancer,cancer,currentpain,ignore?,Monika,bin,hc_cancer_currentpain_bin,"case --CSRVPAIN

end as hc_cancer_currentpain_bin,",Do you currently have physical pain caused by your cancer or cancer treatment?
CSRVRTRN,,,5,y,Health Condition,hc,Cancer,cancer,instructionswheretogo,ignore,Monika,bin,hc_cancer_instructionswheretogo_bin,"case --CSRVRTRN

end as hc_cancer_instructionswheretogo_bin,","Have you ever received instructions from a doctor, nurse, or other health professional about where you should
return or who you should see for routine cancer check-ups after completing treatment for cancer? "
CSRVSUM,,,5,y,Health Condition,hc,Cancer,cancer,instructionswrittensummary,Ignore,Sandeep,bin,hc_cancer_instructionswrittensummary_bin,"case --CSRVSUM

end as hc_cancer_instructionswrittensummary_bin,","Did any doctor, nurse, or other health professional ever give you a written summary of all the cancer treatments that you received?"
CSRVTRT3,,,8,y,Health Condition,hc,Cancer,cancer,currenttreatment,Can ignore this feature,Nalini,cat,hc_cancer_currenttreatment_cat,"case --CSRVTRT3

end as hc_cancer_currenttreatment_cat,",Are you currently receiving treatment for cancer?
CSTATE1,,,3,n,Social Status,,Residence,hpv,na,ignore,Monika,Categorical,,,Do you live in a private residence?
CTELENM1,,,3,n,Phone,,Phone,height,na,ignore,Monika,Categorical,,,phone no
CTELNUM1,,,2,n,Phone,,Phone,income,na,Ignore,Sandeep,Categorical,,,Is this (phone number) ?
CVDCRHD4,,,5,y,Health Condition,hc,chd,chd,treatment,,Tim,bin,hc_chd_treatment_bin,"case --CVDCRHD4

end as hc_chd_treatment_bin,",(Ever told) (you had) angina or coronary heart disease?
CVDINFR4,,,5,y,Health Condition,hc,chd,chd,impact,,Tim,bin,hc_chd_impact_bin,"case --CVDINFR4

end as hc_chd_impact_bin,","(Ever told) you had a heart attack, also called a myocardial infarction?"
CVDSTRK3,,,5,y,Health Condition,hc,cvd,cvd,stroke,,Tim,bin,hc_cvd_stroke_bin,"case --CVDSTRK3

end as hc_cvd_stroke_bin,",(Ever told) (you had) a stroke
DEAF,,,5,y,Health Condition,hc,hearing,hearing,na,,Tim,bin,hc_hearing_na_bin,"case --DEAF

end as hc_hearing_na_bin,",Are you deaf or do you have serious difficulty hearing?
DECIDE,,,5,y,Health Condition,hc,Mental,mental,decide,VVIP,Tim,bin,hc_mental_decide_bin,"case --DECIDE

end as hc_mental_decide_bin,","Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?"
DERIVED_HAS_ARTHRITIS,y,y,?,y,Health Condition,hc,arthritis,arthritis,hascondition,,Tim,bin,hc_arthritis_hascondition_bin,"case --DERIVED_HAS_ARTHRITIS
when HAVARTH5 = 1 then 1 
when HAVARTH5 = 0 then 0
end as hc_arthritis_hascondition_bin",Has Arthritis?
DERIVED_HAS_ASTHMA,y,y,?,y,Health Condition,hc,asthma,asthma,hascondition,,Tim,bin,hc_asthma_hascondition_bin,"case --DERIVED_HAS_ASTHMA
when ASTHNOW = 1 then 1 
when ASTHNOW = 0 then 0
end as hc_asthma_hascondition_bin",Has asthma?
DERIVED_HAS_ASTHMA,y,y,?,y,Health Condition,hc,Cancer,cancer,hascondition,,Tim,bin,hc_cancer_hascondition_bin,"case --DERIVED_HAS_ASTHMA
when ASTHNOW = 1 then 1 
when ASTHNOW = 0 then 0
end as hc_asthma_hascondition_bin",Has cancer?
DERIVED_HAS_CHD,y,y,?,y,Health Condition,hc,chd,chd,hascondition,,Tim,bin,hc_chd_hascondition_bin,"case --DERIVED_HAS_CHD
when _MICHD = 1 then 1 
when _MICHD = 0 then 0
end as hc_chd_hascondition_bin",Has CHD?
DERIVED_HAS_COGNITIVE,y,y,?,y,Health Condition,hc,Cognitive,cognitive,hascondition,,Tim,bin,hc_cognitive_hascondition_bin,"case --DERIVED_HAS_COGNITIVE
when CDASSIST in (1,2,3,4) or CDDISCUS = 1 or CDHOUSE  in (1,2,3,4) or CDSOCIAL in (1,2,3,4) then 1 
when CDASSIST in (5) and CDDISCUS = 2 and CDHOUSE in (5) and CDSOCIAL in (5) then 0
end as hc_cognitive_hascondition_bin",Has Cognitive?
DERIVED_HAS_CVD,y,y,?,y,Health Condition,hc,cvd,cvd,hascondition,,Tim,bin,hc_cvd_hascondition_bin,"case --DERIVED_HAS_CVD
when CVDSTRK3 = 1 or TOLDHI3 = 1  then 1 
when CVDSTRK3 = 2 and TOLDHI3 = 2 then 0
end as hc_cvd_hascondition_bin",Has CVD?
DERIVED_HAS_DIABETES,y,y,?,y,Health Condition,hc,diabetes,diabetes,hascondition,,Tim,bin,hc_diabetes_hascondition_bin,"case --DERIVED_HAS_DIABETES
when DIABETE4 in (1,2) or BLDSUGAR <= 499 or CHKHEMO3 <=76 or DIABAGE3 <= 97 or DIABEDU = 1 or DIABEYE = 1 or DOCTDIAB <=76 or FEETCHK <= 76 or FEETCHK3 <= 499 or INSULIN1 = 1 then 1 
when DIABETE4 in (3) and BLDSUGAR > 499 and CHKHEMO3 in (88,98)  and DIABEDU = 2 and DIABEYE = 2 and DOCTDIAB = 88 and CHKHEMO3 in (88) and FEETCHK3 = 888 and INSULIN1 = 2 then 0
end as hc_diabetes_hascondition_bin,",Has Diabetes?
DERIVED_HAS_HEARING,y,y,?,y,Health Condition,hc,hearing,hearing,hascondition,,Tim,bin,hc_hearing_hascondition_bin,"case --DERIVED_HAS_HEARING
when DEAF = 1 then 1 
when DEAF = 2 then 0
end as hc_hearing_hascondition_bin",Has Hearing?
DERIVED_HAS_HEPATITIS,y,y,?,y,Health Condition,hc,Hepatitis,hepatitis,hascondition,,Tim,bin,hc_hepatitis_hascondition_bin,"case --DERIVED_HAS_HEPATITIS
when TOLDHEPC = 1 or HAVEHEPC = 1 or MEDSHEPB = 1 or PRIRHEPC = 1 or TRETHEPC = 1 then 1 
when TOLDHEPC = 2 and HAVEHEPC =2 and MEDSHEPB = 2 and PRIRHEPC = 2 and TRETHEPC = 2 then 0
end as hc_hepatitis_hascondition_bin",Has Hepititis?
DERIVED_HAS_KIDNEY,y,y,?,y,Health Condition,hc,kidney,kidney,hascondition,,Tim,bin,hc_kidney_hascondition_bin,"case --DERIVED_HAS_KIDNEY
when CHCKDNY2 = 1 then 1 
when CHCKDNY2 = 2 then 0
end as hc_kidney_hascondition_bin",Has Kidney?
DERIVED_HAS_MENTAL,y,y,?,y,Health Condition,hc,Mental,mental,hascondition,,Tim,bin,hc_mental_hascondition_bin,"case --DERIVED_HAS_MENTAL
when _MENT14D in (2,3) or ADDEPEV3 = 1 or DECIDE = 1 or MENTHLTH <= 30 then 1 
when _MENT14D in (1) and  ADDEPEV3 = 2 and DECIDE = 2 and MENTHLTH = 88 then 0
end as hc_mental_hascondition_bin",Has MENTAL?
DERIVED_HAS_MOBILITY,y,y,?,y,Health Condition,hc,Mobility,mobility,hascondition,,Tim,bin,hc_mobility_hascondition_bin,"case --DERIVED_HAS_MOBILITY
when DIFFDRES = 1 or  DIFFWALK = 1 then 1 
when DIFFDRES = 2 and DIFFWALK = 2 then 0
end as hc_mobility_hascondition_bin",Has MOBILITY?
DERIVED_HAS_RESPITORY,y,y,?,y,Health Condition,hc,respitory,respitory,hascondition,,Tim,bin,hc_respitory_hascondition_bin,"case --DERIVED_HAS_RESPITORY
when CHCCOPD3 = 1 then 1 
when CHCCOPD3 = 2 then 0
end as hc_respitory_hascondition_bin",Has RESPITORY?
DERIVED_HAS_VISION,y,y,?,y,Health Condition,hc,vision,vision,hascondition,,Tim,bin,hc_vision_hascondition_bin,"case --DERIVED_HAS_VISION
when BLIND = 1 then 1 
when BLIND = 2 then 0
end as hc_vision_hascondition_bin",Has VISION?
DIABAGE3,,,100,y,Health Condition,hc,diabetes,diabetes,howold,Ignore,Nalini,cont,hc_diabetes_howold_cont,"case --DIABAGE3

end as hc_diabetes_howold_cont,",How old were you when you were told you had diabetes?
DIABEDU,,,5,y,Health Condition,hc,diabetes,diabetes,takenclass,Ignore,Mousom,bin,hc_diabetes_takenclass_bin,"case --DIABEDU

end as hc_diabetes_takenclass_bin,",Have you ever taken a course or class in how to manage your diabetes yourself?
DIABETE4,,,7,y,Health Condition,hc,diabetes,diabetes,na,VVIP,Tim,cat,hc_diabetes_na_cat,"case --DIABETE4

end as hc_diabetes_na_cat,",(Ever told) you had diabetes
DIABEYE,,,5,y,Health Condition,hc,diabetes,diabetes,eyes,Ignore,Mousom,bin,hc_diabetes_eyes_bin,"case --DIABEYE

end as hc_diabetes_eyes_bin,",Has a doctor ever told you that diabetes has affected your eyes or that you had retinopathy?
DIFFALON,,,5,n,vaccine,,Flu,hepatitis,treatment,,Tim,Binary,,,During what month and year did you receive your most recent flu vaccine that was sprayed in your nose or flu shot injected into your arm?
DIFFDRES,,,5,y,Health Condition,hc,Mobility,mobility,impact,,Tim,bin,hc_mobility_impact_bin,"case --DIFFDRES

end as hc_mobility_impact_bin,",Difficulty Dressing or Bathing
DIFFWALK,,,5,y,Health Condition,hc,Mobility,mobility,na,,Tim,bin,hc_mobility_na_bin,"case --DIFFWALK

end as hc_mobility_na_bin,",Do you have serious difficulty walking or climbing stairs?
DISPCODE,,,2,n,Key,,Key,cancer,test,ignore,Monika,Categorical,,,Final Disposition 
DOCTDIAB,,,48,y,Health Condition,hc,diabetes,diabetes,test,Ignore,Mousom,cont,hc_diabetes_test_cont,"case --DOCTDIAB

end as hc_diabetes_test_cont,","About how many times in the past 12 months have you seen a doctor, nurse, or other health professional for your diabetes?"
DRADVISE,,,5,y,Health Condition,hc,cvd,cvd,reducesodium,,Tim,bin,hc_cvd_reducesodium_bin,"case --DRADVISE

end as hc_cvd_reducesodium_bin,",Has a doctor or other health professional ever advised you to reduce sodium or salt intake?
DRNK3GE5,,,50,y,Social Habits,sh,Alcohol,alcohol,na,Ignore?,Sandeep,cont,sh_alcohol_na_cont,"case --DRNK3GE5

end as sh_alcohol_na_cont,","Considering all types of alcoholic beverages, how many times during the past 30 days did you have 5 or more drinks for men or 4 or more drinks for women on an occasion?"
DRNKANY5,,,4,y,Social Habits,sh,Alcohol,alcohol,na,VVIP,Nalini,cont,sh_alcohol_na_cont,"case --DRNKANY5

end as sh_alcohol_na_cont,",Adults who reported having had at least one drink of alcohol in the past 30 days.
DROCDY3_,,,36,y,Social Habits,sh,Alcohol,alcohol,perday,VVIP,Nalini,cont,sh_alcohol_perday_cont,"case --DROCDY3_

end as sh_alcohol_perday_cont,",Drink-occasions-per-day
ECIGNOW1,,,7,y,Social Habits,sh,Smoking,smoking,frequency,VVIP,Mousom,cat,sh_smoking_frequency_cat,"case --ECIGNOW1

end as sh_smoking_frequency_cat,","Do you now use e-cigarettes or other electronic vaping products every day, some days, or not at all?"
EDUCA,,,8,y,Social Status,ss,Education,education,na,VVIP,Sandeep,cat,ss_education_na_cat,"case --EDUCA

end as ss_education_na_cat,",What is the highest grade or year of school you completed?
EMPLOY1,,,10,y,Social Status,ss,Employment,employment,na,Ignore,Sandeep,cat,ss_employment_na_cat,"case --EMPLOY1

end as ss_employment_na_cat,",Are you currently Employed?
EXERANY2,,y,5,y,General Health,gh,Excercise,excercise,na,VVIP,Tim,bin,gh_excercise_na_bin,"case --EXERANY2

end as gh_excercise_na_bin,","During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?"
EYEEXAM1,,,8,y,Health Condition,hc,vision,vision,na,Ignore,Mousom,cat,hc_vision_na_cat,"case --EYEEXAM1

end as hc_vision_na_cat,","When was the last time you had an eye exam in which the pupils were dilated, making you temporarily sensitive to bright light?"
FEETCHK,,,50,y,Health Condition,hc,diabetes,diabetes,feetchecked,Can ignore this feature,Nalini,cont,hc_diabetes_feetchecked_cont,"case --FEETCHK

end as hc_diabetes_feetchecked_cont,","Including times when checked by a family member or friend, about how often do you check your feet for any sores or irritations?"
FEETCHK3,,,81,y,Health Condition,hc,diabetes,diabetes,feetcheckedhowoften,Ignore; low correlation,Mousom,cont,hc_diabetes_feetcheckedhowoften_cont,"case --FEETCHK3

end as hc_diabetes_feetcheckedhowoften_cont,","Including times when checked by a family member or friend, about how often do you check your feet for any sores or irritations?"
FIREARM5,,,5,n,Social Status,,Fire arms,cancer,test,ignore,Monika,Binary,,,Are any firearms now kept in or around your home?
FLSHTMY3,,,34,n,Vaccine,,Flu,residence,na,Think about this,Nalini,Continuous,,,During what month and year did you receive your most recent flu vaccine that was sprayed in your nose or flu shot injected into your arm?
FLUSHOT7,,y,5,y,Vaccine,vac,flu,flu,na,,Tim,bin,vac_flu_na_bin,"case --FLUSHOT7

end as vac_flu_na_bin,","During the past 12 months, have you had either flu vaccine that was sprayed in your nose or flu shot injected into your arm?"
FMONTH,,,12,n,Key,,Key,cancer,test,Ignore,Sandeep,Categorical,,,File Month
FRENCHF1,,,148,y,Nutrition,nut,Fried,fried,howoften,Bucket the data,Nalini,cont,nut_fried_howoften_cont,"case --FRENCHF1

end as nut_fried_howoften_cont,","How often did you eat any kind of fried potatoes, including french fries, home fries, or hash browns?"
FRNCHDA_,,,135,y,Nutrition,nut,Fried,fried,intakeperday,VVIP,Monika,cont,nut_fried_intakeperday_cont,"case --FRNCHDA_

end as nut_fried_intakeperday_cont,",French Fry intake in times per day
FRUIT2,,,174,y,Nutrition,nut,Fruits,fruit,howmany,Ignore; low correlation,Mousom,cont,nut_fruit_howmany_cont,"case --FRUIT2

end as nut_fruit_howmany_cont,","Not including juices, how often did you eat fruit?"
FRUITJU2,,,141,y,Nutrition,nut,Fruits,Joice,howmany,VVIP,Nalini,cont,nut_Joice_howmany_cont,"case --FRUITJU2

end as nut_Joice_howmany_cont,","Not including fruit-flavored drinks or fruit juices with added sugar, how often did you drink 100% fruit juice such as apple or orange juice?"
FRUTDA2_,,,160,y,Nutrition,nut,Fruits,fruit,timesperday,VVIP,Monika,cont,nut_fruit_timesperday_cont,"case --FRUTDA2_

end as nut_fruit_timesperday_cont,",Fruit intake in times per day
FTJUDA2_,,,129,y,Nutrition,nut,Fruits,juice,timesperday,VVIP,Monika,cont,nut_juice_timesperday_cont,"case --FTJUDA2_

end as nut_juice_timesperday_cont,",Fruit juice intake in times per day
FVGREEN1,,,172,y,Nutrition,nut,Vegetables,vegetables,howmany,Ignore; low correlation,Mousom,cont,nut_vegetables_howmany_cont,"case --FVGREEN1

end as nut_vegetables_howmany_cont,","How often did you eat a green leafy or lettuce salad, with or without other vegetables?"
GENHLTH,,y,8,y,General Health,gh,Status,status,na,VVIP,Sandeep,cat,gh_status_na_cat,"case --GENHLTH

end as gh_status_na_cat,",Would you say that in general your health is:
GRENDA1_,,,158,y,Nutrition,nut,Vegetables,vegetables,timesperday,Important,Sandeep,cont,nut_vegetables_timesperday_cont,"case --GRENDA1_

end as nut_vegetables_timesperday_cont,",Dark green vegetable intake in times per day
GUNLOAD,,,5,n,Social Status,,Fire arms,cancer,test,ignore,Monika,Binary,,,Are any of these firearms now loaded?
HADHYST2,,,5,y,Health Condition,hc,Cancer,cancer,hysterectomy,,Tim,bin,hc_cancer_hysterectomy_bin,"case --HADHYST2

end as hc_cancer_hysterectomy_bin,",Have you had a hysterectomy? (A hysterectomy is an operation to remove the uterus (womb).)
HADMAM,,,5,y,Health Condition,hc,Cancer,cancer,mammogram,,Tim,bin,hc_cancer_mammogram_bin,"case --HADMAM

end as hc_cancer_mammogram_bin,",Have you ever had a mammogram?
HADSIGM4,,,5,y,Health Condition,hc,Cancer,cancer,colonoscopy,,Tim,bin,hc_cancer_colonoscopy_bin,"case --HADSIGM4

end as hc_cancer_colonoscopy_bin,",Ever Had Sigmoidoscopy/Colonoscopy
HAVARTH5,,,5,y,Health Condition,hc,arthritis,arthritis,condition,,Tim,bin,hc_arthritis_condition_bin,"case --HAVARTH5

end as hc_arthritis_condition_bin,",Told Had Arthritis
HAVECFS,,,1,n,Health Condition,,fatigue,gender,na,Ignore,Sandeep,Binary,hc_is_fatigue,,Do you still have Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME?
HAVEHEPB,,,5,y,Health Condition,hc,hepatitis,hepatitis,na,,Tim,bin,hc_hepatitis_na_bin,"case --HAVEHEPB

end as hc_hepatitis_na_bin,","Has a doctor, nurse, or other health professional ever told you that you had hepatitis B?"
HAVEHEPC,,,4,y,Health Condition,hc,hepatitis,hepatitis,test,,Tim,bin,hc_hepatitis_test_bin,"case --HAVEHEPC

end as hc_hepatitis_test_bin,",Do you still have Hepatitis C?
HEIGHT3,,,143,n,General Health,,height,vegetables,na,Ignore; low correlation,Mousom,Continuous,,,"About how tall are you without shoes? (If respondent answers in metrics, put a 9 in the first column)[Round fractions down.]"
HHADULT,,,33,y,Demographics,dem,household,household,na,Think about this,Nalini,cont,dem_household_na_cont,"case --HHADULT

end as dem_household_na_cont,","How many members of your household, including yourself, are 18 years of age or older?"
HIVTST7,,,5,y,Health Condition,hc,hiv,hiv,na,Ignore; low correlation,Mousom,bin,hc_hiv_na_bin,"case --HIVTST7

end as hc_hiv_na_bin,","Including fluid testing from your mouth, but not including tests you may have had for blood donation, have you ever been tested for H.I.V?"
HIVTSTD3,,,489,y,Health Condition,hc,HIV,hiv,test,ignore,Monika,cont,hc_hiv_test_cont,"case --HIVTSTD3

end as hc_hiv_test_cont,","Not including blood donations, in what month and year was your last H.I.V. test?"
HOMBPCHK,,,5,y,Health Condition,hc,cvd,cvd,toldcheckbp,,Tim,bin,hc_cvd_toldcheckbp_bin,"case --HOMBPCHK

end as hc_cvd_toldcheckbp_bin,",Told check blood pressure at home
HOMRGCHK,,,5,y,Health Condition,hc,cvd,cvd,homecheckbp,,Tim,bin,hc_cvd_homecheckbp_bin,"case --HOMRGCHK

end as hc_cvd_homecheckbp_bin,",Regularly check blood pressure at home
HOWLONG,,,8,y,Health Condition,hc,Cancer,cancer,lastmammogram,Ignore,Sandeep,cat,hc_cancer_lastmammogram_cat,"case --HOWLONG

end as hc_cancer_lastmammogram_cat,",How long has it been since you had your last mammogram? (Breast and Cervical Cancer Screening)
HPVADSHT,,,6,n,Vaccine,,HPV,,category,Ignore; low correlation,Mousom,Categorical,,,How many HPV shots did you receive?
HPVADVC4,,y,6,y,Vaccine,vac,HPV,hpv,na,ignore?,Monika,bin,vac_hpv_na_bin,"case --HPVADVC4

end as vac_hpv_na_bin,",Have you ever had an H.P.V. vaccination?
HTIN4,,,58,y,General Health,gh,height,height,na,Important?,Sandeep,cont,gh_height_na_cont,"case --HTIN4

end as gh_height_na_cont,",Reported height in inches
HTM4,,,111,n,General Health,,height,,value,Important? (Either MTIN4 or HTM4),Sandeep,Continuous,,,Reported height in meters
IDATE,,,420,n,Key,,Key,,Key,,,Continuous,,,
IDAY,,,31,n,Key,,Key,,Key,,,Continuous,,,
IMFVPLA2,,,15,n,Vaccine,,Flu,,category,ignore,Monika,Categorical,,,At what kind of place did you get your last flu shot or vaccine?
IMONTH,,,12,n,Key,,Key,,Key,,,Categorical,,,
INCOME3,,y,14,y,Social Status,ss,Income,income,na,Ignore; low correlation,Mousom,cat,ss_income_na_cat,"case --INCOME3

end as ss_income_na_cat,","Is your annual household income from all sources: (If respondent refuses at any income level, code  ÌRefused. Ì)"
INSULIN1,,,5,y,Health Condition,hc,diabetes,diabetes,treatment,,Tim,bin,hc_diabetes_treatment_bin,"case --INSULIN1

end as hc_diabetes_treatment_bin,",Are you now taking insulin?
IYEAR,,,2,n,Key,,Key,,Key,,,Categorical,,,
JOINPAI2,,,14,y,Health Condition,hc,arthritis,arthritis,impact,Think about this,Nalini,cat,hc_arthritis_impact_cat,"case --JOINPAI2

end as hc_arthritis_impact_cat,","During the past 30 days, how bad was your joint pain on average on a scale of 0 to 10 where 0 is no pain and 10 is pain or aching as bad as it can be?"
LADULT1,,,3,n,Phone,,Phone,,Phone,ignore,Monika,Categorical,,,Is this a cell telephone?
LANDLINE,,,5,n,Phone,,Phone,,Phone,Think about this,Nalini,Categorical,,,Do you also have a landline telephone in your home that is used to make and receive calls?
LANDSEX,,,5,n,Demographics,,gender,,category,Ignore,Nalini,Categorical,,,Are you male or female?Â 
LASTSIG4,,,8,y,Health Condition,hc,Cancer,cancer,lastcolonoscopy,Ignore,Sandeep,cat,hc_cancer_lastcolonoscopy_cat,"case --LASTSIG4

end as hc_cancer_lastcolonoscopy_cat,",How long has it been since your most recent colonoscopy or sigmoidoscopy?
LASTSMK2,,,11,y,Social Habits,sh,Smoking,smoking,lastused,VVIP,Monika,cat,sh_smoking_lastused_cat,"case --LASTSMK2

end as sh_smoking_lastused_cat,",": How long has it been since you last smoked a cigarette, even one or two puffs?"
LCSCTSCN,,,6,y,Health Condition,hc,Cancer,cancer,test,,Tim,cat,hc_cancer_test_cat,"case --LCSCTSCN

end as hc_cancer_test_cat,","In the last 12 months, did you have a CT or CAT scan?"
LCSFIRST,,,60,n,Social Habits,,Smoking,,value,Ignore,Monika,Continuous,,,How old were you when you first started to smoke cigarettes regularly
LCSLAST,,,93,n,Social Habits,,Smoking,,value,Ignore,Monika,Continuous,,,How old were you when you last smoked cigarettes regularly?
LCSNUMCG,,,65,n,Social Habits,,Smoking,,value,Can ignore this feature,Nalini,Continuous,,,"On average, when you smoke/smoked regularly, about how many cigarettes do/did you usually smoke each day?"
LMTJOIN3,,,5,y,Health Condition,hc,arthritis,arthritis,impact,Think about this,Nalini,bin,hc_arthritis_impact_bin,"case --LMTJOIN3

end as hc_arthritis_impact_bin,",Are you now limited in any way in any of your usual activities because of arthritis or joint symptoms?
LOADULK2,,,5,n,Social Status,,Fire arms,,category,ignore,Monika,Binary,,,Are any of these loaded firearms also unlocked? 
MARIJAN1,,y,34,y,Social Habits,sh,marijuana,marijuana,na,Think about it,Sandeep,cont,sh_marijuana_na_cont,"case --MARIJAN1

end as sh_marijuana_na_cont,","During the past 30 days, on how many days did you use marijuana or cannabis?"
MARITAL,,,8,y,Demographics,dem,marital status,maritalstatus,na,Ignore; low correlation,Mousom,cat,dem_maritalstatus_na_cat,"case --MARITAL

end as dem_maritalstatus_na_cat,",Are you: (marital status)
MAXDRNKS,,,62,n,Social Habits,,Alcohol,,value,Think about this,Nalini,Continuous,,,"During the past 30 days, what is the largest number of drinks you had on any occasion?"
MEDCOST1,,,5,y,Social Status,ss,Cost,cost,na,Ignore; low correlation,Mousom,bin,ss_cost_na_bin,"case --MEDCOST1

end as ss_cost_na_bin,",Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?
MEDSHEPB,,,3,y,Health Condition,hc,hepatitis,hepatitis,currentmedicine,ignore,Monika,bin,hc_hepatitis_currentmedicine_bin,"case --MEDSHEPB

end as hc_hepatitis_currentmedicine_bin,",Are you currently taking medicine to treat hepatitis B?
MENTHLTH,,,34,y,Health Condition,hc,Mental,mental,impact,VVIP,Monika,cont,hc_mental_impact_cont,"case --MENTHLTH

end as hc_mental_impact_cont,","Now thinking about your mental health, which includes stress, depression, and problems with emotions, for
how many days during the past 30 days was your mental health not good?"
MSCODE,,,5,y,Demographics,dem,Geographic,geographic,metro,ignore,Monika,cat,dem_geographic_metro_cat,"case --MSCODE

end as dem_geographic_metro_cat,",Metropolitan Status Code 
NUMADULT,,,16,n,Phone,,Phone,,Phone,Ignore,Sandeep,Categorical,dem_num_of_household_adults,,Number of Adults in Household
NUMHHOL3,,,5,n,Phone,,Phone,,Phone,,Tim,Categorical,,,"Not including cell phones or numbers used for computers, fax machines or security systems, do you have more than one telephone number in your household?"
NUMMEN,,,13,n,Demographics,,gender,,category,Think about this. If needed for viz,Monika,Categorical,,, How many of these adults are men? 
NUMPHON3,,,10,n,Phone,,Phone,,Phone,ignore,Monika,Categorical,,,How many of these telephone numbers are residential numbers?
NUMWOMEN,,,12,n,Demographics,,gender,,category,ignore,Monika,Categorical,,,So the number of women in the household is [X
